         PRESENTE                        IMPERFETTO                     FUTURO SEMPLICE
sono,sei,é,siamo,siete,siono ero,eri,era,eravamo,eravate,eranon sarò,sarai,sarà,saremo,sarete,saranno
prendo,prendi,prende,prendiamo,prendete,prendono prendevo,prendevi,prendeva,prendevamo,prendevate,prendevano prenderò,prenderai,prenderà,prenderemo,prenderete,prenderanno
bevo,bevi,beve,beviamo,bevete,bevono bevevo,bevevi,beveva,bevevamo,bevevate,bevevano berrò,berrai,berrà,berremo,berrete,berranno
cucio,cuci,cuce,cuciamo,cucite,cuciono cucivo,cucivi,cuciva,cucivamo,cucivate,cucivano cucirò,cucirai,cucirà,cuciremo,cucirete,cuciranno
urlo,urli,urla,urliamo,urlate,urlano urlavo,urlavi,urlava,urlavamo,urlavate,urlavano urlerò,urlerai,urlerà,urleremo,urlerete,urleranno
credo,credi,crede,crediamo,credete,credono credevo,credevi,credeva,credevamo,credevate,credevano crederò,crederai,crederà,crederemo,crederete,crederanno
aumento,aumenti,aumenta,aumentiamo,aumentate,aumentano aumentavo,aumentavi,aumentava,aumentavamo,aumentavate,aumentavano aumenterò,aumenterai,aumenterà,aumenteremo,aumenterete,aumenteranno
dico,dici,dice,diciamo,dite,dicono dicevo,dicevi,diceva,dicevamo,dicevate,dicevano dirò,dirai,dirà,diremo,direte,diranno
faccio,fai,fa,facciamo,fate,fanno facevo,facevi,faceva,facevamo,facevate,facevano farò,farai,farà,faremo,farete,faranno
leggo,leggi,legge,leggiamo,leggete,leggono leggevo,leggevi,leggeva,leggevamo,leggevate,leggevano leggerò,leggerai,leggerà,leggeremo,leggerete,leggeranno
metto,metti,mette,mettiamo,mettete,mettono mettevo,mettevi,metteva,mettevamo,mettevate,mettevano metterò,metterai,metterà,metteremo,metterete,metteranno
nasco,nasci,nasce,nasciamo,nascete,nascono nascevo,nascevi,nasceva,nascevamo,nascevate,nascevano nascerò,nascerai,nascerà,nasceremo,nascerete,nasceranno
aderisco,aderisci,aderisce,aderiamo,aderite,aderiscono aderivo,aderivi,aderiva,aderivamo,aderivate,aderivano aderirò,aderirai,aderirà,aderiremo,aderirete,aderiranno
piaccio,piaci,piace,piacciamo,piacete,piacciono piacevo,piacevi,piaceva,piacevamo,piacevate,piacevano piacerò,piacerai,piacerà,piaceremo,piacerete,piaceranno
rido,ridi,ride,ridiamo,ridete,ridono ridevo,ridevi,rideva,ridevamo,ridevate,ridevano riderò,riderai,riderà,rideremo,riderete,rideranno
seguo,segui,segue,seguiamo,seguite,seguono seguivo,seguivi,seguiva,seguivamo,seguivate,seguivano seguirò,seguirai,seguirà,seguiremo,seguirete,seguiranno
sconfiggo,sconfiggi,sconfigge,sconfiggiamo,sconfiggete,sconfiggono sconfiggevo,sconfiggevi,sconfiggeva,sconfiggevamo,sconfiggevate,sconfiggevano sconfiggerò,sconfiggerai,sconfiggerà,sconfiggeremo,sconfiggerete,sconfiggeranno
chiamo,chiami,chiama,chiamiamo,chiamate,chiamano chiamavo,chiamavi,chiamava,chiamavamo,chiamavate,chiamavano chiamerò,chiamerai,chiamerà,chiameremo,chiamerete,chiameranno
getto,getti,getta,gettiamo,gettate,gettano gettavo,gettavi,gettava,gettavamo,gettavate,gettavano getterò,getterai,getterà,getteremo,getterete,getteranno
rido,ridi,ride,ridiamo,ridete,ridono ridevo,ridevi,rideva,ridevamo,ridevate,ridevano riderò,riderai,riderà,rideremo,riderete,rideranno
gioco,giochi,gioca,giochiamo,giocate,giocano giocavo,giocavi,giocava,giocavamo,giocavate,giocavano giocherò,giocherai,giocherà,giocheremo,giocherete,giocheranno
scelgo,scegli,sceglie,scegliamo,scegliete,scelgono sceglievo,sceglievi,sceglieva,sceglievamo,sceglievate,sceglievano sceglierò,sceglierai,sceglierà,sceglieremo,sceglierete,sceglieranno
cammino,cammini,cammina,camminiamo,camminate,camminano camminavo,camminavi,camminava,camminavamo,camminavate,camminavano camminerò,camminerai,camminerà,cammineremo,camminerete,cammineranno
lotto,lotti,lotta,lottiamo,lottate,lottano lottavo,lottavi,lottava,lottavamo,lottavate,lottavano lotterò,lotterai,lotterà,lotteremo,lotterete,lotteranno
amo,ami,ama,amiamo,amate,amano amavo,amavi,amava,amavamo,amavate,amavano amerò,amerai,amerà,ameremo,amerete,ameranno
canto,canti,canta,cantiamo,cantate,cantano cantavo,cantavi,cantava,cantavamo,cantavate,cantavano canterò,canterai,canterà,canteremo,canterete,canteranno
danzo,danzi,danza,danziamo,danzate,danzano danzavo,danzavi,danzava,danzavamo,danzavate,danzavano danzerò,danzerai,danzerà,danzeremo,danzerete,danzeranno
discuto,discuti,discute,discutiamo,discutete,discutono discutevo,discutevi,discuteva,discutevamo,discutevate,discutevano discuterò,discuterai,discuterà,discuteremo,discuterete,discuteranno
